Epoch 1/100, Average Loss: 0.005781677545949054, Current Learning Rate: 0.0002
Epoch 2/100, Average Loss: 0.005042068510132925, Current Learning Rate: 0.0002
Epoch 3/100, Average Loss: 0.004733966646174825, Current Learning Rate: 0.0002
Epoch 4/100, Average Loss: 0.00462120316983794, Current Learning Rate: 0.0002
Epoch 5/100, Average Loss: 0.004344798762281155, Current Learning Rate: 0.0002
Epoch 6/100, Average Loss: 0.0045192468849381134, Current Learning Rate: 0.0002
Epoch 7/100, Average Loss: 0.004432228571622053, Current Learning Rate: 0.0002
Epoch 8/90, Average Loss: 0.0036389539712719963, Current Learning Rate: 0.00015
Epoch 9/90, Average Loss: 0.0032767534283399727, Current Learning Rate: 0.00015
Epoch 10/90, Average Loss: 0.0031985535510432725, Current Learning Rate: 0.00015
Epoch 11/90, Average Loss: 0.0029449067472949496, Current Learning Rate: 0.00015
Epoch 12/90, Average Loss: 0.0032145452771504845, Current Learning Rate: 0.00015
Epoch 13/90, Average Loss: 0.003082882850606203, Current Learning Rate: 0.00015
Epoch 14/90, Average Loss: 0.0028685334195431436, Current Learning Rate: 0.00015
Epoch 15/90, Average Loss: 0.002735400403189944, Current Learning Rate: 0.00015
Epoch 16/90, Average Loss: 0.002702353790296335, Current Learning Rate: 0.00015
Epoch 17/90, Average Loss: 0.0027712886553198372, Current Learning Rate: 0.00015
Epoch 18/90, Average Loss: 0.002571823831439076, Current Learning Rate: 0.00015
Epoch 19/90, Average Loss: 0.0026045351910169334, Current Learning Rate: 0.00015
Epoch 20/90, Average Loss: 0.0027386915874955133, Current Learning Rate: 0.00015
Epoch 21/90, Average Loss: 0.002509127206615852, Current Learning Rate: 0.00015
Epoch 22/90, Average Loss: 0.0023166516096363543, Current Learning Rate: 0.00014785714285714285
Epoch 23/90, Average Loss: 0.00221739340208122, Current Learning Rate: 0.0001457142857142857
Epoch 24/90, Average Loss: 0.002290338247926352, Current Learning Rate: 0.00014357142857142856
Epoch 25/90, Average Loss: 0.0023571631204135513, Current Learning Rate: 0.0001414285714285714
Epoch 26/90, Average Loss: 0.0020912817758454087, Current Learning Rate: 0.00013928571428571427
Epoch 27/90, Average Loss: 0.0021295993754947666, Current Learning Rate: 0.00013714285714285713
Epoch 28/90, Average Loss: 0.0019192137627576525, Current Learning Rate: 0.000135
Epoch 29/90, Average Loss: 0.0018362331762145773, Current Learning Rate: 0.00013285714285714284
Epoch 30/90, Average Loss: 0.001931388143263038, Current Learning Rate: 0.0001307142857142857
Epoch 31/90, Average Loss: 0.0018462096473550907, Current Learning Rate: 0.00012857142857142858
Epoch 32/90, Average Loss: 0.0017000894951292504, Current Learning Rate: 0.00012642857142857142
Epoch 33/90, Average Loss: 0.0019844433438939916, Current Learning Rate: 0.00012428571428571426
Epoch 34/90, Average Loss: 0.0017998225540399163, Current Learning Rate: 0.00012214285714285712
Epoch 35/90, Average Loss: 0.0016124278475965542, Current Learning Rate: 0.00011999999999999999
Epoch 36/90, Average Loss: 0.001705346564129876, Current Learning Rate: 0.00011785714285714284
Epoch 37/90, Average Loss: 0.001535875759623283, Current Learning Rate: 0.0001
Epoch 38/90, Average Loss: 0.001464500158436823, Current Learning Rate: 0.0001
Epoch 39/90, Average Loss: 0.0015072535278912074, Current Learning Rate: 0.0001
Epoch 40/90, Average Loss: 0.0014651235532146811, Current Learning Rate: 9.791666666666667e-05
Epoch 41/90, Average Loss: 0.0013500871889663565, Current Learning Rate: 9.583333333333334e-05
Epoch 1/40, Average Loss: 0.001374698831168503, Current Learning Rate: 9e-05
Epoch 2/50, Average Loss: 0.0013505595437975594, Current Learning Rate: 9e-05
Epoch 3/50, Average Loss: 0.001310391481367972, Current Learning Rate: 9e-05
Epoch 4/50, Average Loss: 0.0013143147954773015, Current Learning Rate: 9e-05
Epoch 5/50, Average Loss: 0.0014409442807203447, Current Learning Rate: 8.808510638297873e-05
Epoch 6/50, Average Loss: 0.001291755767272602, Current Learning Rate: 8.617021276595745e-05
Epoch 7/50, Average Loss: 0.0012458010202360925, Current Learning Rate: 8.425531914893617e-05
Epoch 8/50, Average Loss: 0.0012346843770403113, Current Learning Rate: 8.23404255319149e-05
Epoch 9/50, Average Loss: 0.001156835093137783, Current Learning Rate: 8.042553191489362e-05
Epoch 10/50, Average Loss: 0.0011651481328820666, Current Learning Rate: 7.851063829787235e-05
Epoch 11/50, Average Loss: 0.0011315118681803943, Current Learning Rate: 7.659574468085106e-05
Epoch 12/50, Average Loss: 0.0010903734945499745, Current Learning Rate: 7.468085106382979e-05
Epoch 13/50, Average Loss: 0.0010739748645866016, Current Learning Rate: 7.276595744680852e-05
Epoch 14/50, Average Loss: 0.0010581778223728796, Current Learning Rate: 7.085106382978724e-05
Epoch 15/50, Average Loss: 0.0009980413032979723, Current Learning Rate: 6.893617021276597e-05
Epoch 16/50, Average Loss: 0.001018187528106197, Current Learning Rate: 6.702127659574469e-05
Epoch 17/50, Average Loss: 0.0010094844715258027, Current Learning Rate: 6.51063829787234e-05
Epoch 18/50, Average Loss: 0.0010158409267658562, Current Learning Rate: 6.319148936170213e-05
Epoch 19/50, Average Loss: 0.0009601795858241489, Current Learning Rate: 6.127659574468086e-05
Epoch 20/50, Average Loss: 0.0009207989375284984, Current Learning Rate: 5.936170212765957e-05
Epoch 21/50, Average Loss: 0.0008775064606299538, Current Learning Rate: 5.744680851063831e-05
Epoch 22/50, Average Loss: 0.000882720948760146, Current Learning Rate: 5.553191489361702e-05
Epoch 23/50, Average Loss: 0.0008706210759710196, Current Learning Rate: 5.3617021276595745e-05
Epoch 24/50, Average Loss: 0.0008565914613989444, Current Learning Rate: 5.1702127659574474e-05
Epoch 25/50, Average Loss: 0.0008529767238545775, Current Learning Rate: 4.97872340425532e-05
Epoch 26/50, Average Loss: 0.0008641248787452133, Current Learning Rate: 4.787234042553192e-05
Epoch 27/50, Average Loss: 0.0008137355867366964, Current Learning Rate: 4.595744680851065e-05
Epoch 28/50, Average Loss: 0.0007840633831363581, Current Learning Rate: 4.404255319148937e-05
Epoch 29/50, Average Loss: 0.0007431708517811139, Current Learning Rate: 4.2127659574468086e-05
Epoch 30/50, Average Loss: 0.0007803654665074357, Current Learning Rate: 4.021276595744681e-05
Epoch 31/50, Average Loss: 0.0007895908578765097, Current Learning Rate: 3.829787234042553e-05
Epoch 32/50, Average Loss: 0.0006966913474834268, Current Learning Rate: 3e-05
Epoch 33/50, Average Loss: 0.0007082615015105952, Current Learning Rate: 3e-05
Epoch 34/50, Average Loss: 0.0007202220599661028, Current Learning Rate: 3e-05
Epoch 35/50, Average Loss: 0.0006795391665075359, Current Learning Rate: 2.8333333333333332e-05
Epoch 36/50, Average Loss: 0.0006538148720568481, Current Learning Rate: 2.6666666666666667e-05
