Epoch 1/60, Average Loss: 0.01869814421341289, Current Learning Rate: 0.00015
Epoch 2/60, Average Loss: 0.011668825842207298, Current Learning Rate: 0.00015
Epoch 3/60, Average Loss: 0.009048483640071936, Current Learning Rate: 0.00015
Epoch 4/60, Average Loss: 0.00867332358029671, Current Learning Rate: 0.00015
Epoch 5/60, Average Loss: 0.006876436833408661, Current Learning Rate: 0.00015
Epoch 6/80, Average Loss: 0.009435559484700207, Current Learning Rate: 0.00015
Epoch 7/80, Average Loss: 0.006821945611591218, Current Learning Rate: 0.00015
Epoch 8/80, Average Loss: 0.006208073449670337, Current Learning Rate: 0.00015
Epoch 9/80, Average Loss: 0.005512267722224351, Current Learning Rate: 0.00015
Epoch 10/80, Average Loss: 0.005710685156373074, Current Learning Rate: 0.00015
Epoch 11/80, Average Loss: 0.004822183334908914, Current Learning Rate: 0.00015
Epoch 12/80, Average Loss: 0.004327005028244457, Current Learning Rate: 0.00015
Epoch 13/80, Average Loss: 0.003803461539064301, Current Learning Rate: 0.00015
Epoch 14/80, Average Loss: 0.005751301384569235, Current Learning Rate: 0.00015
Epoch 15/80, Average Loss: 0.004746226759704008, Current Learning Rate: 0.00015
Epoch 16/80, Average Loss: 0.004687446268428474, Current Learning Rate: 0.00015
Epoch 17/80, Average Loss: 0.004220728287218164, Current Learning Rate: 0.00015
Epoch 18/80, Average Loss: 0.004074172880691923, Current Learning Rate: 0.00015
Epoch 19/80, Average Loss: 0.0036465747230877616, Current Learning Rate: 0.00015
Epoch 20/80, Average Loss: 0.0033986793929864077, Current Learning Rate: 0.00015
Epoch 21/80, Average Loss: 0.0031855865477341903, Current Learning Rate: 0.00015
Epoch 22/80, Average Loss: 0.0027348120849936793, Current Learning Rate: 0.00015
Epoch 23/80, Average Loss: 0.00275205184660903, Current Learning Rate: 0.00015
Epoch 24/80, Average Loss: 0.0034989499796360527, Current Learning Rate: 0.00015
Epoch 25/80, Average Loss: 0.0028363645319150737, Current Learning Rate: 0.00015
Epoch 26/80, Average Loss: 0.0029074051784198376, Current Learning Rate: 0.00015
Epoch 27/80, Average Loss: 0.0026027092308265297, Current Learning Rate: 0.00015
Epoch 28/80, Average Loss: 0.003247438465908476, Current Learning Rate: 0.00015
Epoch 29/80, Average Loss: 0.002883990587067012, Current Learning Rate: 0.00015
Epoch 30/80, Average Loss: 0.0026098729218101153, Current Learning Rate: 0.00015
Epoch 31/80, Average Loss: 0.002472313983710355, Current Learning Rate: 0.00015
Epoch 32/80, Average Loss: 0.0022216104943790053, Current Learning Rate: 0.000147
Epoch 33/80, Average Loss: 0.0021784193534722988, Current Learning Rate: 0.00014399999999999998
Epoch 34/80, Average Loss: 0.002011352689133013, Current Learning Rate: 0.00014099999999999998
Epoch 35/80, Average Loss: 0.002146581673439694, Current Learning Rate: 0.000138
Epoch 36/80, Average Loss: 0.001958005626252151, Current Learning Rate: 0.000135
Epoch 37/80, Average Loss: 0.0018461972884897602, Current Learning Rate: 0.00013199999999999998
Epoch 38/80, Average Loss: 0.0018174742023167136, Current Learning Rate: 0.000129
Epoch 39/80, Average Loss: 0.0014905213619174104, Current Learning Rate: 0.00012599999999999997
Epoch 40/80, Average Loss: 0.0015408547406965127, Current Learning Rate: 0.000123
Epoch 41/80, Average Loss: 0.0013964220806509766, Current Learning Rate: 0.00011999999999999999
Epoch 1/50, Average Loss: 0.0014021150709595531, Current Learning Rate: 0.0001
Epoch 2/50, Average Loss: 0.0013786835543214693, Current Learning Rate: 0.0001
Epoch 3/50, Average Loss: 0.0014512155830743723, Current Learning Rate: 0.0001
Epoch 4/50, Average Loss: 0.001340923771749658, Current Learning Rate: 9.791666666666667e-05
Epoch 5/50, Average Loss: 0.001340159536084684, Current Learning Rate: 9.583333333333334e-05
Epoch 6/50, Average Loss: 0.0011452986127551412, Current Learning Rate: 9.375e-05
Epoch 7/50, Average Loss: 0.0011932603956665844, Current Learning Rate: 9.166666666666667e-05
Epoch 8/50, Average Loss: 0.0010884653229368269, Current Learning Rate: 8.958333333333335e-05
Epoch 9/50, Average Loss: 0.0010883179261327314, Current Learning Rate: 8.75e-05
Epoch 10/50, Average Loss: 0.0010309312001481885, Current Learning Rate: 8.541666666666666e-05
Epoch 11/50, Average Loss: 0.000982999599273171, Current Learning Rate: 8.333333333333334e-05
Epoch 12/50, Average Loss: 0.001226538156515744, Current Learning Rate: 8.125000000000001e-05
Epoch 13/50, Average Loss: 0.0009656007255216537, Current Learning Rate: 7.916666666666666e-05
Epoch 14/50, Average Loss: 0.0008987894357233017, Current Learning Rate: 7.708333333333334e-05
Epoch 15/50, Average Loss: 0.0008919922433960892, Current Learning Rate: 7.500000000000001e-05
Epoch 16/50, Average Loss: 0.0009223484576068586, Current Learning Rate: 7.291666666666667e-05
Epoch 17/50, Average Loss: 0.0008700826692802366, Current Learning Rate: 7.083333333333332e-05
Epoch 18/50, Average Loss: 0.0007877220245973149, Current Learning Rate: 6.875e-05
Epoch 19/50, Average Loss: 0.0007037534041955951, Current Learning Rate: 6.666666666666668e-05
Epoch 20/50, Average Loss: 0.0007698998706473503, Current Learning Rate: 6.458333333333334e-05
Epoch 21/50, Average Loss: 0.0007430738155562722, Current Learning Rate: 6.25e-05
Epoch 22/50, Average Loss: 0.0006439210283133434, Current Learning Rate: 6.0416666666666674e-05
Epoch 23/50, Average Loss: 0.0008465735272693564, Current Learning Rate: 5.8333333333333326e-05
Epoch 24/50, Average Loss: 0.0006876814932184061, Current Learning Rate: 5.6250000000000005e-05
Epoch 25/50, Average Loss: 0.0005588875196735898, Current Learning Rate: 5.416666666666668e-05
Epoch 26/50, Average Loss: 0.0005419295298452198, Current Learning Rate: 5.208333333333333e-05
Epoch 27/50, Average Loss: 0.0005360056670724589, Current Learning Rate: 5e-05
Epoch 28/50, Average Loss: 0.0006948296104383189, Current Learning Rate: 4.791666666666667e-05
Epoch 29/50, Average Loss: 0.000508551867596907, Current Learning Rate: 4.583333333333334e-05
Epoch 30/50, Average Loss: 0.00048572374498689896, Current Learning Rate: 4.375e-05
Epoch 31/50, Average Loss: 0.0005194865582325292, Current Learning Rate: 4.1666666666666665e-05
Epoch 32/50, Average Loss: 0.0005126414359892806, Current Learning Rate: 3.958333333333334e-05
Epoch 33/50, Average Loss: 0.0004736898940791434, Current Learning Rate: 3.7500000000000003e-05
Epoch 34/50, Average Loss: 0.0004865358512233797, Current Learning Rate: 3.541666666666666e-05
Epoch 35/50, Average Loss: 0.0004512674988745857, Current Learning Rate: 3.333333333333334e-05
Epoch 36/50, Average Loss: 0.00040484272085450357, Current Learning Rate: 3.125e-05
