Epoch 1/55, Average Loss: 0.0015739194369420021, Current Learning Rate: 0.0001
Epoch 2/55, Average Loss: 0.0015156049534528332, Current Learning Rate: 0.0001
Epoch 3/55, Average Loss: 0.0014960760236978458, Current Learning Rate: 0.0001
Epoch 4/55, Average Loss: 0.0014226832972640804, Current Learning Rate: 0.0001
Epoch 5/55, Average Loss: 0.0014183352340995353, Current Learning Rate: 0.0001
Epoch 6/55, Average Loss: 0.0013839014231417919, Current Learning Rate: 0.0001
Epoch 7/55, Average Loss: 0.0013534751992437155, Current Learning Rate: 9.8e-05
Epoch 8/55, Average Loss: 0.001420030356420772, Current Learning Rate: 9.6e-05
Epoch 9/55, Average Loss: 0.0012573347251990839, Current Learning Rate: 9.4e-05
Epoch 10/55, Average Loss: 0.0013102730633317884, Current Learning Rate: 9.200000000000001e-05
Epoch 11/55, Average Loss: 0.0012054568762049568, Current Learning Rate: 9e-05
Epoch 12/55, Average Loss: 0.0012130769383513753, Current Learning Rate: 8.800000000000001e-05
Epoch 13/55, Average Loss: 0.0011826299025738275, Current Learning Rate: 8.6e-05
Epoch 14/55, Average Loss: 0.0011479737191361242, Current Learning Rate: 8.4e-05
Epoch 15/55, Average Loss: 0.0011219023243127693, Current Learning Rate: 8.200000000000001e-05
Epoch 16/55, Average Loss: 0.0011436039684488686, Current Learning Rate: 8e-05
Epoch 17/55, Average Loss: 0.0010470667863840015, Current Learning Rate: 7.800000000000001e-05
Epoch 18/55, Average Loss: 0.0010986521709296837, Current Learning Rate: 7.6e-05
Epoch 19/55, Average Loss: 0.001074300114106761, Current Learning Rate: 7.4e-05
Epoch 20/55, Average Loss: 0.0010817047259900684, Current Learning Rate: 7.2e-05
Epoch 21/55, Average Loss: 0.0010387104510398884, Current Learning Rate: 7e-05
Epoch 22/55, Average Loss: 0.0009739960737761944, Current Learning Rate: 6.8e-05
Epoch 23/55, Average Loss: 0.0009489493184088294, Current Learning Rate: 6.599999999999999e-05
Epoch 24/55, Average Loss: 0.0009559657219950196, Current Learning Rate: 6.400000000000001e-05
Epoch 25/55, Average Loss: 0.0009386426889769999, Current Learning Rate: 6.2e-05
Epoch 26/55, Average Loss: 0.0009211799363348576, Current Learning Rate: 6e-05
Epoch 27/55, Average Loss: 0.0009250069486784558, Current Learning Rate: 5.800000000000001e-05
Epoch 28/55, Average Loss: 0.0008612600983678756, Current Learning Rate: 5.6000000000000006e-05
Epoch 29/55, Average Loss: 0.0008253803016873199, Current Learning Rate: 5.4000000000000005e-05
Epoch 30/55, Average Loss: 0.0008678504481707595, Current Learning Rate: 5.2000000000000004e-05
Epoch 31/55, Average Loss: 0.0008099770269956274, Current Learning Rate: 5e-05
Epoch 32/55, Average Loss: 0.0008228823664965842, Current Learning Rate: 4.8e-05
Epoch 33/55, Average Loss: 0.0008118019670088017, Current Learning Rate: 4.6e-05
Epoch 34/55, Average Loss: 0.0008093849876621364, Current Learning Rate: 4.4e-05
Epoch 35/55, Average Loss: 0.0007968304770266903, Current Learning Rate: 4.2000000000000004e-05
Epoch 36/55, Average Loss: 0.000751878037172483, Current Learning Rate: 4e-05
Epoch 37/55, Average Loss: 0.0007167140792328936, Current Learning Rate: 3.8e-05
Epoch 38/55, Average Loss: 0.000718637479976643, Current Learning Rate: 3.6e-05
Epoch 39/55, Average Loss: 0.0007420587647536816, Current Learning Rate: 3.4e-05
Epoch 40/55, Average Loss: 0.0006959906434366106, Current Learning Rate: 3.2e-05
Epoch 41/55, Average Loss: 0.0006776419937368806, Current Learning Rate: 3.0000000000000008e-05
Epoch 42/55, Average Loss: 0.0006537306446725463, Current Learning Rate: 2.8000000000000003e-05
Epoch 43/55, Average Loss: 0.0006395947706670335, Current Learning Rate: 2.6000000000000002e-05
Epoch 44/55, Average Loss: 0.0006740038807319143, Current Learning Rate: 2.4e-05
Epoch 45/55, Average Loss: 0.0006130100590285654, Current Learning Rate: 2.2e-05
Epoch 46/55, Average Loss: 0.000610406781540254, Current Learning Rate: 1.9999999999999995e-05
Epoch 47/55, Average Loss: 0.000591122882383827, Current Learning Rate: 1.8000000000000007e-05
Epoch 48/55, Average Loss: 0.0005957158754915035, Current Learning Rate: 1.6000000000000003e-05
Epoch 49/55, Average Loss: 0.0005798991114996971, Current Learning Rate: 1.4000000000000001e-05
Epoch 50/55, Average Loss: 0.0005721325938779551, Current Learning Rate: 1.2e-05
Epoch 51/55, Average Loss: 0.0005696779072040182, Current Learning Rate: 9.999999999999997e-06
Epoch 52/55, Average Loss: 0.000577876170964338, Current Learning Rate: 7.999999999999996e-06
Epoch 53/55, Average Loss: 0.0005394316630228513, Current Learning Rate: 6.000000000000005e-06
Epoch 54/55, Average Loss: 0.0005399445871609932, Current Learning Rate: 4.000000000000004e-06
