Epoch 1/100, Average Loss: 0.01468989457273178, Current Learning Rate: 0.0002
Epoch 2/100, Average Loss: 0.010771157831966992, Current Learning Rate: 0.0002
Epoch 3/100, Average Loss: 0.008786289040329314, Current Learning Rate: 0.0002
Epoch 4/100, Average Loss: 0.008204170060254833, Current Learning Rate: 0.0002
Epoch 5/100, Average Loss: 0.008324307232096049, Current Learning Rate: 0.0002
Epoch 6/100, Average Loss: 0.008331793718132766, Current Learning Rate: 0.0002
Epoch 7/100, Average Loss: 0.007340033194299973, Current Learning Rate: 0.0002
Epoch 8/100, Average Loss: 0.00725408476243024, Current Learning Rate: 0.0002
Epoch 9/100, Average Loss: 0.006903541291764156, Current Learning Rate: 0.0002
Epoch 10/100, Average Loss: 0.005963233939391629, Current Learning Rate: 0.0002
Epoch 11/100, Average Loss: 0.0055391564039724, Current Learning Rate: 0.0002
Epoch 12/100, Average Loss: 0.0055802478209687435, Current Learning Rate: 0.00019777777777777778
Epoch 13/100, Average Loss: 0.005239721533701437, Current Learning Rate: 0.00019555555555555556
Epoch 14/100, Average Loss: 0.0047882238373524325, Current Learning Rate: 0.00019333333333333333
Epoch 15/100, Average Loss: 0.004825003535916736, Current Learning Rate: 0.00019111111111111114
Epoch 16/100, Average Loss: 0.00477375495635594, Current Learning Rate: 0.00018888888888888888
Epoch 17/100, Average Loss: 0.004386091165260637, Current Learning Rate: 0.0001866666666666667
Epoch 18/100, Average Loss: 0.004436831165531514, Current Learning Rate: 0.00018444444444444446
Epoch 19/100, Average Loss: 0.004127927558270008, Current Learning Rate: 0.00018222222222222224
Epoch 20/100, Average Loss: 0.0038718575427943835, Current Learning Rate: 0.00018
Epoch 21/100, Average Loss: 0.0039038323095671374, Current Learning Rate: 0.00017777777777777779
Epoch 22/100, Average Loss: 0.003530573561721592, Current Learning Rate: 0.00017555555555555556
Epoch 23/100, Average Loss: 0.0034462455033424572, Current Learning Rate: 0.00017333333333333334
Epoch 24/100, Average Loss: 0.0032467842817938105, Current Learning Rate: 0.00017111111111111114
Epoch 25/100, Average Loss: 0.0034077894165612387, Current Learning Rate: 0.00016888888888888889
Epoch 26/100, Average Loss: 0.0031598219574407683, Current Learning Rate: 0.0001666666666666667
Epoch 27/100, Average Loss: 0.0030021897521159, Current Learning Rate: 0.00016444444444444444
Epoch 28/100, Average Loss: 0.0027342695482806714, Current Learning Rate: 0.00016222222222222224
Epoch 29/100, Average Loss: 0.002960103199664696, Current Learning Rate: 0.00016
Epoch 30/100, Average Loss: 0.0028878384886641354, Current Learning Rate: 0.0001577777777777778
Epoch 31/100, Average Loss: 0.002611502096899054, Current Learning Rate: 0.00015555555555555556
Epoch 32/100, Average Loss: 0.0025426925531761555, Current Learning Rate: 0.00015333333333333334
Epoch 33/100, Average Loss: 0.0024337011857325803, Current Learning Rate: 0.0001511111111111111
Epoch 34/100, Average Loss: 0.002302137909700623, Current Learning Rate: 0.0001488888888888889
Epoch 35/100, Average Loss: 0.0024715671156331455, Current Learning Rate: 0.0001466666666666667
Epoch 36/100, Average Loss: 0.00222932185573589, Current Learning Rate: 0.00014444444444444444
Epoch 37/100, Average Loss: 0.002073723339998445, Current Learning Rate: 0.00014222222222222224
Epoch 38/100, Average Loss: 0.002335846970608044, Current Learning Rate: 0.00014
