Epoch 1/500, Average Loss: 0.22200938808583767, Current Learning Rate: 0.0004
Epoch 2/500, Average Loss: 0.19515309735807673, Current Learning Rate: 0.0004
Epoch 3/500, Average Loss: 0.18672756948203684, Current Learning Rate: 0.0004
Epoch 4/500, Average Loss: 0.17618141209596413, Current Learning Rate: 0.0004
Epoch 5/500, Average Loss: 0.1547489852827286, Current Learning Rate: 0.0004
Epoch 6/500, Average Loss: 0.14575790305189626, Current Learning Rate: 0.0004
Epoch 7/500, Average Loss: 0.14273302045845168, Current Learning Rate: 0.0004
Epoch 8/500, Average Loss: 0.14166776141923537, Current Learning Rate: 0.0004
Epoch 9/500, Average Loss: 0.13830150318015774, Current Learning Rate: 0.0004
Epoch 10/500, Average Loss: 0.13721881235871358, Current Learning Rate: 0.0004
Epoch 11/500, Average Loss: 0.13516674429828132, Current Learning Rate: 0.0004
Epoch 12/500, Average Loss: 0.1342908646273093, Current Learning Rate: 0.0004
Epoch 13/500, Average Loss: 0.1314801341415937, Current Learning Rate: 0.0004
Epoch 14/500, Average Loss: 0.12726370263786702, Current Learning Rate: 0.0004
Epoch 15/500, Average Loss: 0.12708377002555632, Current Learning Rate: 0.0004
Epoch 16/500, Average Loss: 0.12468954470484428, Current Learning Rate: 0.0004
Epoch 17/500, Average Loss: 0.12182876349331062, Current Learning Rate: 0.0004
Epoch 18/500, Average Loss: 0.12243540297230456, Current Learning Rate: 0.0004
Epoch 19/500, Average Loss: 0.11981428957709642, Current Learning Rate: 0.0004
Epoch 20/500, Average Loss: 0.11782579137900165, Current Learning Rate: 0.0004
Epoch 21/500, Average Loss: 0.11713740245854, Current Learning Rate: 0.0004
Epoch 22/500, Average Loss: 0.11664697254001166, Current Learning Rate: 0.0004
Epoch 23/500, Average Loss: 0.11565487291025596, Current Learning Rate: 0.0004
Epoch 24/500, Average Loss: 0.11320860878886463, Current Learning Rate: 0.0004
Epoch 25/500, Average Loss: 0.11426006580160414, Current Learning Rate: 0.0004
Epoch 26/500, Average Loss: 0.11231067349606214, Current Learning Rate: 0.0004
Epoch 27/500, Average Loss: 0.11155154795104469, Current Learning Rate: 0.0004
Epoch 28/500, Average Loss: 0.10891763145260722, Current Learning Rate: 0.0004
Epoch 29/500, Average Loss: 0.10921257400067053, Current Learning Rate: 0.0004
Epoch 30/500, Average Loss: 0.10722587343502639, Current Learning Rate: 0.0004
Epoch 31/500, Average Loss: 0.1075063236173811, Current Learning Rate: 0.0004
Epoch 32/500, Average Loss: 0.1060942248716904, Current Learning Rate: 0.0004
Epoch 32/200, Average Loss: 0.10485211640271443, Current Learning Rate: 0.0004
